episode_id,environment_type,start_location,initial_dirt_A,initial_dirt_B,sensor_noise_flag,recontamination_probability,initial_energy,max_steps,steps_taken,dirt_cleaned,move_actions,suck_actions,unnecessary_suck_actions,final_dirt_count,remaining_energy,performance_score,success,dirt_removed_rate,action_efficiency,unnecessary_action_rate,rational_episode
1,Stochastic,A,0,0,0,0.12,20,9,4,1,3,1,0,0,15,8.5,1,1.0,0.25,0.0,1
2,Stochastic,B,1,1,0,0.12,13,7,3,2,1,2,0,0,8,19.5,1,1.0,0.6667,0.0,1
3,Stochastic,B,0,0,0,0.12,9,5,2,0,2,0,0,0,7,-1.0,1,1.0,0.0,0.0,1
4,Stochastic,B,1,1,0,0.12,17,10,5,3,2,3,0,0,9,29.0,1,1.0,0.6,0.0,1
5,Clean,A,0,0,0,0.005,19,11,2,0,2,0,0,0,17,-1.0,1,1.0,0.0,0.0,1
6,Stochastic,A,0,1,0,0.12,11,7,2,1,1,1,0,0,8,9.5,1,1.0,0.5,0.0,1
7,Stochastic,B,0,1,0,0.12,9,9,2,1,1,1,0,0,6,9.5,1,1.0,0.5,0.0,1
8,Dirty,B,1,1,0,0.03,18,7,3,2,1,2,0,0,13,19.5,1,1.0,0.6667,0.0,1
9,Dirty,B,1,1,0,0.03,15,4,3,2,1,2,0,0,10,19.5,1,1.0,0.6667,0.0,1
10,Stochastic,A,0,1,0,0.12,18,12,2,1,1,1,0,0,15,9.5,1,1.0,0.5,0.0,1
11,Dirty,A,1,1,0,0.03,10,11,3,2,1,2,0,0,5,19.5,1,1.0,0.6667,0.0,1
12,Dirty,A,0,1,0,0.03,12,8,2,1,1,1,0,0,9,9.5,1,1.0,0.5,0.0,1
13,Stochastic,B,0,1,0,0.12,11,7,2,1,1,1,0,0,8,9.5,1,1.0,0.5,0.0,1
14,Dirty,A,1,0,0,0.03,9,8,2,1,1,1,0,0,6,9.5,1,1.0,0.5,0.0,1
15,Clean,B,0,1,0,0.005,20,5,2,1,1,1,0,0,17,9.5,1,1.0,0.5,0.0,1
16,Clean,B,0,0,0,0.005,8,4,2,0,2,0,0,0,6,-1.0,1,1.0,0.0,0.0,1
17,Dirty,B,1,1,0,0.03,19,9,3,2,1,2,0,0,14,19.5,1,1.0,0.6667,0.0,1
18,Clean,B,0,0,0,0.005,8,11,2,0,2,0,0,0,6,-1.0,1,1.0,0.0,0.0,1
19,Dirty,A,0,1,0,0.03,15,4,2,1,1,1,0,0,12,9.5,1,1.0,0.5,0.0,1
20,Dirty,B,1,1,0,0.03,16,9,3,2,1,2,0,0,11,19.5,1,1.0,0.6667,0.0,1
21,Dirty,B,0,1,0,0.03,16,4,2,1,1,1,0,0,13,9.5,1,1.0,0.5,0.0,1
22,Dirty,A,1,0,0,0.03,12,12,2,1,1,1,0,0,9,9.5,1,1.0,0.5,0.0,1
23,Clean,A,0,0,0,0.005,12,10,2,0,2,0,0,0,10,-1.0,1,1.0,0.0,0.0,1
24,Stochastic,B,1,1,0,0.12,13,12,3,2,1,2,0,0,8,19.5,1,1.0,0.6667,0.0,1
25,Dirty,B,1,1,0,0.03,14,9,3,2,1,2,0,0,9,19.5,1,1.0,0.6667,0.0,1
26,Clean,A,0,0,0,0.005,10,10,2,0,2,0,0,0,8,-1.0,1,1.0,0.0,0.0,1
27,Dirty,A,1,1,0,0.03,16,11,3,2,1,2,0,0,11,19.5,1,1.0,0.6667,0.0,1
