episode_id,application,agent_architecture,environment,expected_action,sensor_confidence,risk_level,environment_volatility,partial_observability,energy_or_resource_level,response_time_ms,available_actions,prior_success_rate,random_noise,rational_action,utility_score,observability_label,dynamic_label,determinism_label
1,Smart Hospital Assistant,Simple Reflex,Cloudy,Stay Inside,0.8421,0.1455,0.2159,0.5831,82.41,313.42,4,0.5425,-0.292,0,76.28,Partially Observable,Dynamic,Deterministic
2,AI Travel Assistant,Goal-Based,Windy,Use Wind Protection,1,0.1116,0.5386,0.41,56.77,277.66,7,0.8182,0.7993,1,70.79,Fully Observable,Static,Stochastic
3,Warehouse Robot,Model-Based,Stormy,Stay Inside,0.808,0.5698,0.7778,0.6314,59.62,306.71,4,0.5878,-0.0703,0,48.93,Fully Observable,Static,Stochastic
4,Smart Hospital Assistant,Learning,Sunny,Go Outside,0.8048,0.1477,0.3205,0.3982,95.73,110.62,14,0.6908,-0.3766,1,89.75,Fully Observable,Static,Stochastic
5,Intelligent Tutoring System,Model-Based,Rainy,Use Umbrella,0.638,0.1174,0.6955,0.6237,63.92,202.41,6,0.6336,-1.2019,0,56.88,Fully Observable,Static,Deterministic
6,Autonomous Delivery Robot,Simple Reflex,Stormy,Stay Inside,1,0.0815,0.2784,0.5049,95.12,283.74,7,0.5808,0.5182,1,71.06,Partially Observable,Static,Deterministic
7,Intelligent Tutoring System,Model-Based,Windy,Use Wind Protection,0.8886,0.6166,0.3451,0.2313,81.33,213.02,8,0.749,-0.167,1,91.84,Partially Observable,Static,Deterministic
8,Smart-Home Energy Agent,Model-Based,Sunny,Go Outside,0.8751,0.3907,0.1635,0.3366,57.51,146.04,11,0.612,-0.3475,1,97.28,Partially Observable,Dynamic,Stochastic
9,Smart Hospital Assistant,Simple Reflex,Snowy,Wear Winter Gear,1,0.1858,0.6784,0.6036,71.39,203.6,10,0.7235,-0.4505,1,90.86,Partially Observable,Dynamic,Deterministic
10,Autonomous Vehicle,Model-Based,Stormy,Stay Inside,0.8159,0.5307,0.3034,0.6724,55.59,293.59,8,0.8356,0.6163,1,71.65,Fully Observable,Static,Stochastic
11,Warehouse Robot,Learning,Stormy,Stay Inside,0.9961,0.4876,0.0939,0.4668,100,220.02,2,0.6656,0.4473,1,94.35,Fully Observable,Static,Stochastic
12,Autonomous Vehicle,Model-Based,Sunny,Go Outside,0.7182,0.6722,0.4554,0.516,100,212.18,10,0.5932,-2.1896,0,52.45,Partially Observable,Static,Stochastic
13,Smart-Home Energy Agent,Utility-Based,Cloudy,Stay Inside,0.7578,0.23,0.2791,0.4377,81.16,225.65,3,0.6465,-0.3111,1,98.99,Fully Observable,Static,Deterministic
14,Autonomous Delivery Robot,Model-Based,Windy,Use Wind Protection,0.8038,0.4614,0.4509,0.1185,96.81,107.02,5,0.9209,2.2496,1,86.76,Partially Observable,Dynamic,Stochastic
15,Warehouse Robot,Learning,Snowy,Wear Winter Gear,0.7734,0.6307,0.3809,0.4997,75.73,245.81,8,0.831,-1.0458,1,74.79,Fully Observable,Dynamic,Stochastic
16,Autonomous Delivery Robot,Learning,Cloudy,Stay Inside,0.8812,0.4236,0.5436,0.0934,82.85,296.97,4,0.9363,-0.1493,1,100,Partially Observable,Static,Deterministic
